,1a.cpp,1b.cpp,2a.cpp,2b.cpp,2c.cpp,2d.cpp
1a.cpp,1.0,0.7295081967213115,0.03278688524590164,0.02459016393442623,0.03278688524590164,0.02459016393442623
1b.cpp,0.7295081967213115,1.0,0.022556390977443608,0.022556390977443608,0.022556390977443608,0.022556390977443608
2a.cpp,0.03278688524590164,0.022556390977443608,1.0,0.4690721649484536,1.0,0.4690721649484536
2b.cpp,0.02459016393442623,0.022556390977443608,0.4690721649484536,1.0,0.4690721649484536,1.0
2c.cpp,0.03278688524590164,0.022556390977443608,1.0,0.4690721649484536,1.0,0.4690721649484536
2d.cpp,0.02459016393442623,0.022556390977443608,0.4690721649484536,1.0,0.4690721649484536,1.0
